token,predicted_tag,source
tkrzant,ADJ,outahajala.csv
ittussann,VBP,outahajala.csv
s,S,outahajala.csv
usbdd,NN,outahajala.csv
n,S,outahajala.csv
kra,PROT,outahajala.csv
n,S,outahajala.csv
yinsayn,NN,outahajala.csv
d,C,outahajala.csv
usmar,NN,outahajala.csv
n,S,outahajala.csv
tiram,NN,outahajala.csv
ẓlin,VBP,outahajala.csv
d,C,outahajala.csv
tikki,NN,outahajala.csv
n,S,outahajala.csv
iṛaẓaɣn,NN,outahajala.csv
d,C,outahajala.csv
ummzray,NN,outahajala.csv
d,C,outahajala.csv
kra,PROT,outahajala.csv
n,S,outahajala.csv
tgdalin,NN,outahajala.csv
.,PUNC,outahajala.csv
llig,ADV,outahajala.csv
d,PROR,outahajala.csv
ilula,VB,outahajala.csv
umussu,NN,outahajala.csv
adlsan,ADJ,outahajala.csv
amaziɣ,ADJ,outahajala.csv
",",PUNC,outahajala.csv
iga,VB,outahajala.csv
iḍ,NN,outahajala.csv
n,S,outahajala.csv
innayr,NN,outahajala.csv
g,S,outahajala.csv
yan,DT,outahajala.csv
mnnaw,ADV,outahajala.csv
n,S,outahajala.csv
insay,NN,outahajala.csv
ikcmn,VBP,outahajala.csv
takala,NN,outahajala.csv
n,S,outahajala.csv
tgmi,NN,outahajala.csv
tanamunt,ADJ,outahajala.csv
n,S,outahajala.csv
tmagit,NN,outahajala.csv
tadlsant,ADJ,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
.,PUNC,outahajala.csv
mkad,C,outahajala.csv
af,C,outahajala.csv
ittyawsaty,VB,outahajala.csv
usggwas,NN,outahajala.csv
n,S,outahajala.csv
950,NUM,outahajala.csv
ndi,S,outahajala.csv
talalit,NN,outahajala.csv
n,S,outahajala.csv
lmasiḥ,NNP,outahajala.csv
ad,FOC,outahajala.csv
is,S_PP,outahajala.csv
ittusnti,VB,outahajala.csv
usggwas,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
",",PUNC,outahajala.csv
acku,C,outahajala.csv
asggwas,NN,outahajala.csv
a,DT,outahajala.csv
ag,REL,outahajala.csv
yumẓ,VB,outahajala.csv
umaziɣ,NN,outahajala.csv
cicunɣ,NNP,outahajala.csv
tanbaḍt,NN,outahajala.csv
g,S,outahajala.csv
miṢṛ,NNP,outahajala.csv
tafrɛunt,ADJ,outahajala.csv
.,PUNC,outahajala.csv
mklli,ADV,outahajala.csv
iga,VB,outahajala.csv
usinag,NN,outahajala.csv
agldan,ADJ,outahajala.csv
n,S,outahajala.csv
tussna,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
yat,DT,outahajala.csv
tmrslt,NN,outahajala.csv
tagdudant,ADJ,outahajala.csv
yusin,VBP,outahajala.csv
tamasayt,NN,outahajala.csv
n,S,outahajala.csv
tgmi,NN,outahajala.csv
n,S,outahajala.csv
tussna,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
",",PUNC,outahajala.csv
ikcm,VB,outahajala.csv
tadinamiyt,NN,outahajala.csv
ad,DT,outahajala.csv
ar,PRPR,outahajala.csv
isfugul,VB,outahajala.csv
awd,C,outahajala.csv
nttan,PP,outahajala.csv
tafugla,NN,outahajala.csv
ad,DT,outahajala.csv
ittawsn,VBP,outahajala.csv
g,S,outahajala.csv
ussimɣur,NN,outahajala.csv
n,S,outahajala.csv
tmktit,NN,outahajala.csv
tanagrawt,ADJ,outahajala.csv
d,C,outahajala.csv
umzruy,NN,outahajala.csv
anamur,ADJ,outahajala.csv
.,PUNC,outahajala.csv
asggwas,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
amaynu,ADJ,outahajala.csv
iɣudan,VBP,outahajala.csv
",",PUNC,outahajala.csv
i,S,outahajala.csv
imasayn,NN,outahajala.csv
d,C,outahajala.csv
tmasayin,NN,outahajala.csv
",",PUNC,outahajala.csv
i,S,outahajala.csv
imswura,NN,outahajala.csv
d,C,outahajala.csv
tmswura,NN,outahajala.csv
n,S,outahajala.csv
usinag,NN,outahajala.csv
agldan,ADJ,outahajala.csv
n,S,outahajala.csv
tussna,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
.,PUNC,outahajala.csv
ass,NN,outahajala.csv
amaḍlan,NN,outahajala.csv
n,S,outahajala.csv
tmdyazn,NN,outahajala.csv
isfugla,VB,outahajala.csv
usinag,NN,outahajala.csv
agldan,ADJ,outahajala.csv
n,S,outahajala.csv
tussna,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
(,PUNC,outahajala.csv
ammas,NN,outahajala.csv
n,S,outahajala.csv
tɣuri,NN,outahajala.csv
n,S,outahajala.csv
tẓuṛiwin,NN,outahajala.csv
d,C,outahajala.csv
tskla,NN,outahajala.csv
d,C,outahajala.csv
usliẓiṛ,NN,outahajala.csv
),PUNC,outahajala.csv
ass,NN,outahajala.csv
amaḍlan,ADJ,outahajala.csv
n,S,outahajala.csv
tmdyazt,NN,outahajala.csv
",",PUNC,outahajala.csv
g,S,outahajala.csv
22,NUM,outahajala.csv
ibrir,NN,outahajala.csv
2009,NUM,outahajala.csv
.,PUNC,outahajala.csv
awadas,NN,outahajala.csv
n,S,outahajala.csv
tawuri,NN,outahajala.csv
ad,DT,outahajala.csv
ad,PRPR,outahajala.csv
ittuyassn,VB,outahajala.csv
waddur,NN,outahajala.csv
illan,VBP,outahajala.csv
ɣr,S,outahajala.csv
imdyazn,NN,outahajala.csv
afad,C,outahajala.csv
ad,PRPR,outahajala.csv
ddun,VB,outahajala.csv
ɣr,S,outahajala.csv
dat,NN,outahajala.csv
.,PUNC,outahajala.csv
asfuglu,NN,outahajala.csv
ad,DT,outahajala.csv
ismattr,VB,outahajala.csv
d,PROR,outahajala.csv
ṢḍiṢ,NN,outahajala.csv
n,S,outahajala.csv
imdyazn,NN,outahajala.csv
d,C,outahajala.csv
tmdyazin,NN,outahajala.csv
d,PROR,outahajala.csv
iddan,VB,outahajala.csv
g,S,outahajala.csv
kra,PROT,outahajala.csv
igan,VBP,outahajala.csv
tasga,NN,outahajala.csv
n,S,outahajala.csv
tmurt,NN,outahajala.csv
nnɣ,DT,outahajala.csv
.,PUNC,outahajala.csv
llan,VB,outahajala.csv
winna,PDEM,outahajala.csv
iɣran,VBP,outahajala.csv
timdyazin,NN,outahajala.csv
nnsn,DT,outahajala.csv
zun,ADV,outahajala.csv
sana,NNP,outahajala.csv
zahid,NNP,outahajala.csv
",",PUNC,outahajala.csv
ṢṢḍḍiq,NNP,outahajala.csv
uṛṛayṢ,NNP,outahajala.csv
d,C,outahajala.csv
sɛid,NNP,outahajala.csv
abrnus,NNP,outahajala.csv
",",PUNC,outahajala.csv
ilin,VB,outahajala.csv
winna,PDEM,outahajala.csv
issmɣr,VB,outahajala.csv
usinag,NN,outahajala.csv
:,PUNC,outahajala.csv
ɛica,NNP,outahajala.csv
busnina,NNP,outahajala.csv
",",PUNC,outahajala.csv
ḥasan,NNP,outahajala.csv
iḥyawi,NNP,outahajala.csv
d,C,outahajala.csv
ɛbdrrḥman,NNP,outahajala.csv
ibcu,NNP,outahajala.csv
.,PUNC,outahajala.csv
anuḍ,NN,outahajala.csv
agraɣlan,ADJ,outahajala.csv
xf,S,outahajala.csv
tmaziɣt,NN,outahajala.csv
d,C,outahajala.csv
titiknulujiyin,NN,outahajala.csv
timaynutin,ADJ,outahajala.csv
n,S,outahajala.csv
unɣmis,NN,outahajala.csv
d,C,outahajala.csv
umyawaḍ,NN,outahajala.csv
ussan,NN,outahajala.csv
n,S,outahajala.csv
24,NUM,outahajala.csv
d,C,outahajala.csv
25,NUM,outahajala.csv
brayr,DATE,outahajala.csv
2011,NUM,outahajala.csv
ddaw,ADV,outahajala.csv
n,S,outahajala.csv
tmatart,NN,outahajala.csv
:,PUNC,outahajala.csv
isagamn,NN,outahajala.csv
isnilsn,ADJ,outahajala.csv
:,PUNC,outahajala.csv
tuska,NN,outahajala.csv
d,C,outahajala.csv
ussirw,NN,outahajala.csv
llan,VB,outahajala.csv
isagamn,NN,outahajala.csv
isnilsn,ADJ,outahajala.csv
atig,NN,outahajala.csv
mqqurn,VBP,outahajala.csv
dg,S,outahajala.csv
usays,NN,outahajala.csv
n,S,outahajala.csv
tẓṛa,NN,outahajala.csv
d,C,outahajala.csv
tnflit,NN,outahajala.csv
n,S,outahajala.csv
iyafutn,NN,outahajala.csv
isnmalayn,VBP,outahajala.csv
",",PUNC,outahajala.csv
g,S,outahajala.csv
ma,REL,outahajala.csv
ad,FOC,outahajala.csv
izdin,VBP,outahajala.csv
d,C,outahajala.csv
usnara,NN,outahajala.csv
n,S,outahajala.csv
umlan,NN,outahajala.csv
isnilsn,ADJ,outahajala.csv
niɣ,C,outahajala.csv
g,S,outahajala.csv
ma,REL,outahajala.csv
ad,FOC,outahajala.csv
izdin,VBP,outahajala.csv
d,C,outahajala.csv
usyafu,NN,outahajala.csv
n,S,outahajala.csv
isagamn,NN,outahajala.csv
imaynutn,ADJ,outahajala.csv
niɣ,C,outahajala.csv
tanflit,NN,outahajala.csv
n,S,outahajala.csv
imassn,NN,outahajala.csv
nnḍḍn,ADJ,outahajala.csv
.,PUNC,outahajala.csv
maca,C,outahajala.csv
",",PUNC,outahajala.csv
nngzan,VB,outahajala.csv
isagamn,NN,outahajala.csv
a,DT,outahajala.csv
dg,S,outahajala.csv
tutlayin,NN,outahajala.csv
nni,DT,outahajala.csv
ur,NEG,outahajala.csv
yiwḍn,VB,outahajala.csv
ijj,DT,outahajala.csv
n,S,outahajala.csv
uswir,NN,outahajala.csv
yattutn,VBP,outahajala.csv
dg,S,outahajala.csv
tnsmalayt,NN,outahajala.csv
",",PUNC,outahajala.csv
isagamn,NN,outahajala.csv
igan,VBP,outahajala.csv
ijj,DT,outahajala.csv
n,S,outahajala.csv
usɣawsa,NN,outahajala.csv
mqqurn,VBP,outahajala.csv
i,REL,outahajala.csv
nxs,VB,outahajala.csv
ad,PRPR,outahajala.csv
nsskcm,VB,outahajala.csv
tutlayin,NN,outahajala.csv
ad,DT,outahajala.csv
i,S,outahajala.csv
titiknulujiyin,NN,outahajala.csv
timaynutin,ADJ,outahajala.csv
n,S,outahajala.csv
unɣmis,NN,outahajala.csv
.,PUNC,outahajala.csv
mk,C,outahajala.csv
ad,PRPR,outahajala.csv
af,C,outahajala.csv
iga,VB,outahajala.csv
usmuttg,NN,outahajala.csv
n,S,outahajala.csv
isagamn,NN,outahajala.csv
a,DT,outahajala.csv
ict,DT,outahajala.csv
dg,S,outahajala.csv
twuriwin,NN,outahajala.csv
sugrnin,VBP,outahajala.csv
n,S,outahajala.csv
usmkl,NN,outahajala.csv
uṭumatik,ADJ,outahajala.csv
n,S,outahajala.csv
tutlin,NN,outahajala.csv
.,PUNC,outahajala.csv
ass,NN,outahajala.csv
a,DT,outahajala.csv
",",PUNC,outahajala.csv
ibdd,VB,outahajala.csv
ussnti,NN,outahajala.csv
n,S,outahajala.csv
twuri,NN,outahajala.csv
a,DT,outahajala.csv
xf,S,outahajala.csv
usmuttg,NN,outahajala.csv
adaslan,ADJ,outahajala.csv
(,PUNC,outahajala.csv
asngl,NN,outahajala.csv
n,S,outahajala.csv
umagraw,NN,outahajala.csv
n,S,outahajala.csv
twnɣa,NN,outahajala.csv
",",PUNC,outahajala.csv
anasiw,NN,outahajala.csv
n,S,outahajala.csv
tirra,NN,outahajala.csv
…,PUNC,outahajala.csv
),PUNC,outahajala.csv
n,S,outahajala.csv
tutlayt,NN,outahajala.csv
ittustayn,VBP,outahajala.csv
urta,ADV,outahajala.csv
ttuḍfaṛn,VB,outahajala.csv
i,S,outahajala.csv
iẓmmẓlan,NN,outahajala.csv
d,C,outahajala.csv
ilugan,NN,outahajala.csv
igraɣlann,VBP,outahajala.csv
dg,S,outahajala.csv
usays,NN,outahajala.csv
a,DT,outahajala.csv
huma,C,outahajala.csv
ad,PRPR,outahajala.csv
ittyaf,VB,outahajala.csv
usnara,NN,outahajala.csv
n,S,outahajala.csv
isagamn,NN,outahajala.csv
d,C,outahajala.csv
imassn,NN,outahajala.csv
inflan,ADJ,outahajala.csv
.,PUNC,outahajala.csv
g,S,outahajala.csv
ma,REL,outahajala.csv
ad,FOC,outahajala.csv
izdin,VBP,outahajala.csv
d,S,outahajala.csv
tutlayt,NN,outahajala.csv
tamaziɣt,ADJ,outahajala.csv
",",PUNC,outahajala.csv
tṛaẓa,VB,outahajala.csv
tkla,NN,outahajala.csv
n,S,outahajala.csv
tnawayt,NN,outahajala.csv
d,C,outahajala.csv
usmattu,NN,outahajala.csv
n,S,outahajala.csv
usmrs,NN,outahajala.csv
n,S,outahajala.csv
uskkil,NN,outahajala.csv
n,S,outahajala.csv
tfinaɣ,NN,outahajala.csv
dg,S,outahajala.csv
titiknulujiyin,NN,outahajala.csv
n,S,outahajala.csv
unɣmis,NN,outahajala.csv
asays,NN,outahajala.csv
i,S,outahajala.csv
tnflit,NN,outahajala.csv
n,S,outahajala.csv
imassn,NN,outahajala.csv
n,S,outahajala.csv
usmkl,NN,outahajala.csv
uṭumatik,ADJ,outahajala.csv
n,S,outahajala.csv
tutlayin,NN,outahajala.csv
d,C,outahajala.csv
usmara,NN,outahajala.csv
n,S,outahajala.csv
isagamn,NN,outahajala.csv
isnilsn,ADJ,outahajala.csv
i,S,outahajala.csv
illan,VBP,outahajala.csv
ɣir,S,outahajala.csv
dg,S,outahajala.csv
tutlayt,NN,outahajala.csv
ad,DT,outahajala.csv
niɣ,C,outahajala.csv
yinni,PDEM,outahajala.csv
sis,S_PP,outahajala.csv
illan,VBP,outahajala.csv
nttat,PP,outahajala.csv
d,C,outahajala.csv
tiyyaḍ,PDEM,outahajala.csv
.,PUNC,outahajala.csv
maca,C,outahajala.csv
tsul,VB,outahajala.csv
sul,ADV,outahajala.csv
twuri,NN,outahajala.csv
iɣin,VBP,outahajala.csv
ad,PRPR,outahajala.csv
yaws,VB,outahajala.csv
dg,S,outahajala.csv
usmrs,NN,outahajala.csv
n,S,outahajala.csv
tmaziɣt,NN,outahajala.csv
d,C,outahajala.csv
tgmi,NN,outahajala.csv
nns,DT,outahajala.csv
.,PUNC,outahajala.csv
iwats,VB,outahajala.csv
wanuḍ,NN,outahajala.csv
ittusnmaln,VBP,outahajala.csv
dg,S,outahajala.csv
yijj,NN,outahajala.csv
n,S,outahajala.csv
umnid,NN,outahajala.csv
n,S,outahajala.csv
umyaẓaẓ,NN,outahajala.csv
n,S,outahajala.csv
tfasiwin,NN,outahajala.csv
n,S,outahajala.csv
imsiggiln,NN,outahajala.csv
inamurn,ADJ,outahajala.csv
d,C,outahajala.csv
igraɣlann,NN,outahajala.csv
iswurin,VBP,outahajala.csv
dg,S,outahajala.csv
yiɣr,NN,outahajala.csv
n,S,outahajala.csv
usmkl,NN,outahajala.csv
uṭumatik,ADJ,outahajala.csv
n,S,outahajala.csv
tutlayin,NN,outahajala.csv
",",PUNC,outahajala.csv
ad,PRPR,outahajala.csv
issdus,VB,outahajala.csv
tussna,NN,outahajala.csv
n,S,outahajala.csv
umyawas,NN,outahajala.csv
d,C,outahajala.csv
usnfl,NN,outahajala.csv
n,S,outahajala.csv
isagamn,NN,outahajala.csv
isnilsn,ADJ,outahajala.csv
",",PUNC,outahajala.csv
innal,VB,outahajala.csv
isnfarn,NN,outahajala.csv
n,S,outahajala.csv
usiggl,NN,outahajala.csv
d,C,outahajala.csv
tnflit,NN,outahajala.csv
n,S,outahajala.csv
usmkl,NN,outahajala.csv
uṭumatik,ADJ,outahajala.csv
n,S,outahajala.csv
tutlayin,NN,outahajala.csv
.,PUNC,outahajala.csv
imnad,VB,outahajala.csv
uɣurin,NN,outahajala.csv
a,DT,outahajala.csv
imsiggiln,NN,outahajala.csv
n,S,outahajala.csv
tmrsal,NN,outahajala.csv
tinamurin,ADJ,outahajala.csv
d,C,outahajala.csv
tgraɣlanin,ADJ,outahajala.csv
.,PUNC,outahajala.csv
di,S,outahajala.csv
tinzulin,NNP,outahajala.csv
tmmudda,VB,outahajala.csv
tifawt,NNP,outahajala.csv
d,C,outahajala.csv
twacunt,NN,outahajala.csv
nns,DT,outahajala.csv
dg,S,outahajala.csv
unbdu,NN,outahajala.csv
izrin,VBP,outahajala.csv
ɣr,S,outahajala.csv
iɣrm,NN,outahajala.csv
n,S,outahajala.csv
zagura,NNP,outahajala.csv
.,PUNC,outahajala.csv
ha,DT,outahajala.csv
tifawt,NNP,outahajala.csv
ttals,VB,outahajala.csv
xf,S,outahajala.csv
umuddu,NN,outahajala.csv
nns,DT,outahajala.csv
:,PUNC,outahajala.csv
nkkar,VB,outahajala.csv
zikk,ADV,outahajala.csv
",",PUNC,outahajala.csv
nṭṭf,VB,outahajala.csv
abrid,NN,outahajala.csv
",",PUNC,outahajala.csv
niwḍ,VB,outahajala.csv
ɣr,S,outahajala.csv
zagura,NNP,outahajala.csv
ɣr,S,outahajala.csv
uzgn,NN,outahajala.csv
n,S,outahajala.csv
wass,NN,outahajala.csv
.,PUNC,outahajala.csv
nmmuklu,VB,outahajala.csv
ɣar,S,outahajala.csv
umddukl,NN,outahajala.csv
n,S,outahajala.csv
baba,NNK_PP,outahajala.csv
.,PUNC,outahajala.csv
nnsa,VB,outahajala.csv
ɣars,S_PP,outahajala.csv
.,PUNC,outahajala.csv
tiwcca,NN,outahajala.csv
nns,DT,outahajala.csv
nɛdu,VB,outahajala.csv
ɣr,S,outahajala.csv
tinzulin,NNP,outahajala.csv
.,PUNC,outahajala.csv
umi,ADV,outahajala.csv
niwḍ,VB,outahajala.csv
",",PUNC,outahajala.csv
isbdd,VB,outahajala.csv
anɣ,PP,outahajala.csv
baba,NNK_PP,outahajala.csv
ɣr,S,outahajala.csv
yict,DT,outahajala.csv
n,S,outahajala.csv
tṢḍaṛt,NN,outahajala.csv
d,PRED,outahajala.csv
tamqṛant,ADJ,outahajala.csv
.,PUNC,outahajala.csv
inna,VB,outahajala.csv
anɣ,S_PP,outahajala.csv
:,PUNC,outahajala.csv
Ṣwḍt,VB,outahajala.csv
dags,S_PP,outahajala.csv
dg,S,outahajala.csv
warndad,NN,outahajala.csv
.,PUNC,outahajala.csv
yadas,VB,outahajala.csv
ɣrs,S_PP,outahajala.csv
yidir,NNP,outahajala.csv
",",PUNC,outahajala.csv
uca,C,outahajala.csv
isɣuy,VB,outahajala.csv
:,PUNC,outahajala.csv
" PUNC
ha ḍṭ
iskkiln NN
i ṛɛL
nɣra VB
dg Ṣ
udlis NN
amaynu AḍJ
! PUNC
",PUNC,outahajala.csv
.,PUNC,outahajala.csv
dg,S,outahajala.csv
umzwaru,NN,outahajala.csv
",",PUNC,outahajala.csv
nẓṛa,VB,outahajala.csv
askkil,NN,outahajala.csv
" PUNC
yat NN
",PUNC,outahajala.csv
illan,VBP,outahajala.csv
dg,S,outahajala.csv
ism,NN,outahajala.csv
inu,DT,outahajala.csv
.,PUNC,outahajala.csv
wiss,DT,outahajala.csv
sin,NN,outahajala.csv
nufa,VB,outahajala.csv
askkil,NN,outahajala.csv
" PUNC
yi NN
",PUNC,outahajala.csv
illan,VBP,outahajala.csv
dg,S,outahajala.csv
ism,NN,outahajala.csv
n,S,outahajala.csv
yidir,NNP,outahajala.csv
.,PUNC,outahajala.csv
ɣr,S,outahajala.csv
umggaru,NN,outahajala.csv
",",PUNC,outahajala.csv
nẓṛa,VB,outahajala.csv
" PUNC
yan ḍṭ
",PUNC,outahajala.csv
illan,VBP,outahajala.csv
dg,S,outahajala.csv
ism,NN,outahajala.csv
n,S,outahajala.csv
imma,NNK_PP,outahajala.csv
yamna,NNP,outahajala.csv
.,PUNC,outahajala.csv
tnna,VB,outahajala.csv
anɣ,S_PP,outahajala.csv
imma,NNK_PP,outahajala.csv
:,PUNC,outahajala.csv
aqqa,C,outahajala.csv
iskkiln,NN,outahajala.csv
a,DT,outahajala.csv
qqaṛn,VB,outahajala.csv
asn,S_PP,outahajala.csv
tifinaɣ,NN,outahajala.csv
.,PUNC,outahajala.csv
ttwaɣzn,VB,outahajala.csv
da,ADV,outahajala.csv
aṭṭaṢ,ADV,outahajala.csv
zggwami,NN,outahajala.csv
.,PUNC,outahajala.csv
uran,VBP,outahajala.csv
tn,PP,outahajala.csv
da,ADV,outahajala.csv
imɣarn,NN,outahajala.csv
nnɣ,PPOS,outahajala.csv
imaziɣn,ADJ,outahajala.csv
izaykutn,ADJ,outahajala.csv
",",PUNC,outahajala.csv
ḥuma,C,outahajala.csv
ur,NEG,outahajala.csv
tn,PP,outahajala.csv
ttu,VB,outahajala.csv
.,PUNC,outahajala.csv
nttaf,VB,outahajala.csv
tn,PP,outahajala.csv
ttwarin,VBP,outahajala.csv
ura,C,outahajala.csv
dg,S,outahajala.csv
idlisn,NN,outahajala.csv
n,S,outahajala.csv
umzruy,NN,outahajala.csv
n,S,outahajala.csv
tmurt,NN,outahajala.csv
nnɣ,PPOS,outahajala.csv
.,PUNC,outahajala.csv
cicun,NNP,outahajala.csv
",",PUNC,outahajala.csv
afrɛun,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
ma,ADV,outahajala.csv
ad,FOC,outahajala.csv
iga,VB,outahajala.csv
cicun,NNP,outahajala.csv
amzwaru,ADJ,outahajala.csv
?,PUNC,outahajala.csv
iga,VB,outahajala.csv
cicun,NNP,outahajala.csv
amzwaru,ADJ,outahajala.csv
yan,DT,outahajala.csv
unmɣur,NN,outahajala.csv
amaziɣ,ADJ,outahajala.csv
n,S,outahajala.csv
uzmz,NN,outahajala.csv
azayku,ADJ,outahajala.csv
.,PUNC,outahajala.csv
ilul,VB,outahajala.csv
g,S,outahajala.csv
tqbilt,NN,outahajala.csv
n,S,outahajala.csv
ayt,DT,outahajala.csv
maswac,NNP,outahajala.csv
iẓẓlmḍ,VB,outahajala.csv
n,S,outahajala.csv
ifriqya,NNP,outahajala.csv
.,PUNC,outahajala.csv
idwl,VB,outahajala.csv
d,PRED,outahajala.csv
afrɛun,NN,outahajala.csv
axatar,ADJ,outahajala.csv
llig,ADV,outahajala.csv
inra,VB,outahajala.csv
adfrir,NN,outahajala.csv
n,S,outahajala.csv
miṢṛ,NNP,outahajala.csv
.,PUNC,outahajala.csv
yumẓ,VB,outahajala.csv
tanbaḍt,NN,outahajala.csv
nns,DT,outahajala.csv
",",PUNC,outahajala.csv
isku,VB,outahajala.csv
tamlilt,NN,outahajala.csv
n,S,outahajala.csv
ifrɛunn,NN,outahajala.csv
tiss,DT,outahajala.csv
simrawt,NN,outahajala.csv
d,C,outahajala.csv
snat,NN,outahajala.csv
.,PUNC,outahajala.csv
milmi,ADV,outahajala.csv
iska,VB,outahajala.csv
tamlilt,NN,outahajala.csv
nns,DT,outahajala.csv
g,S,outahajala.csv
miṢṛ,NNP,outahajala.csv
?,PUNC,outahajala.csv
iska,VB,outahajala.csv
cicun,NNP,outahajala.csv
tamlilt,NN,outahajala.csv
tiss,DT,outahajala.csv
simrawt,NN,outahajala.csv
d,C,outahajala.csv
snat,NN,outahajala.csv
g,S,outahajala.csv
950,NUM,outahajala.csv
dat,ADV,outahajala.csv
n,S,outahajala.csv
tlalit,NN,outahajala.csv
n,S,outahajala.csv
lmasiḥ,NNP,outahajala.csv
.,PUNC,outahajala.csv
tkka,VB,outahajala.csv
tnbaḍt,NN,outahajala.csv
nns,DT,outahajala.csv
simraw,NN,outahajala.csv
d,C,outahajala.csv
yan,NN,outahajala.csv
usggwas,NN,outahajala.csv
.,PUNC,outahajala.csv
umi,ADV,outahajala.csv
immut,VB,outahajala.csv
",",PUNC,outahajala.csv
tqqim,VB,outahajala.csv
tmlilt,NN,outahajala.csv
nns,DT,outahajala.csv
mnnawt,ADV,outahajala.csv
n,S,outahajala.csv
tsutin,NN,outahajala.csv
g,S,outahajala.csv
ifassn,NN,outahajala.csv
n,S,outahajala.csv
twacunt,NN,outahajala.csv
nns,DT,outahajala.csv
.,PUNC,outahajala.csv
min,INT,outahajala.csv
igga,VB,outahajala.csv
cicun,NNP,outahajala.csv
umi,ADV,outahajala.csv
idwl,VB,outahajala.csv
d,PRED,outahajala.csv
afrɛun,NN,outahajala.csv
?,PUNC,outahajala.csv
llig,ADV,outahajala.csv
yaɣul,VB,outahajala.csv
iga,VB,outahajala.csv
cicun,NN,outahajala.csv
afrɛun,NN,outahajala.csv
amqqran,ADJ,outahajala.csv
",",PUNC,outahajala.csv
yufa,VB,outahajala.csv
tamurt,NN,outahajala.csv
n,S,outahajala.csv
miṢṛ,NN,outahajala.csv
tbḍa,VB,outahajala.csv
xf,S,outahajala.csv
kigan,DT,outahajala.csv
n,S,outahajala.csv
tmnaḍin,NN,outahajala.csv
.,PUNC,outahajala.csv
ismun,VB,outahajala.csv
tt,PP,outahajala.csv
",",PUNC,outahajala.csv
issmɣar,VB,outahajala.csv
